,Country,Population,Yearly Change,Net Change,Density ,Land Area,Migrants,Fertility Rate,Median Age,Urban Population,World Share
1,China,"1,439,323,776",0.39%,"5,540,090",153,"9,388,211","-348,399",1.7,38,61%,18.47%
2,India,0,-100.00%,"-1,366,417,754",0,"2,973,190","-532,687",2.2,28,N.A.,0.00%
3,Indonesia,"273,523,615",1.07%,"2,898,047",151,"1,811,570","-98,955",2.3,30,56%,3.51%
4,Pakistan,"220,892,340",2.00%,"4,327,022",287,"770,880","-233,379",3.6,23,35%,2.83%
5,Bangladesh,"164,689,383",1.01%,"1,643,222","1,265","130,170","-369,501",2.1,28,39%,2.11%
6,Japan,"126,476,461",-0.30%,"-383,840",347,"364,555","71,560",1.4,48,92%,1.62%
7,Philippines,"109,581,078",1.35%,"1,464,463",368,"298,170","-67,152",2.6,26,47%,1.41%
8,Vietnam,"97,338,579",0.91%,"876,473",314,"310,070","-80,000",2.1,32,38%,1.25%
9,Turkey,"84,339,067",1.09%,"909,452",110,"769,630","283,922",2.1,32,76%,1.08%
10,Iran,"83,992,949",1.30%,"1,079,043",52,"1,628,550","-55,000",2.2,32,76%,1.08%
11,Thailand,"69,799,978",0.25%,"174,396",137,"510,890","19,444",1.5,40,51%,0.90%
12,Myanmar,"54,409,800",0.67%,"364,380",83,"653,290","-163,313",2.2,29,31%,0.70%
13,South Korea,"51,269,185",0.09%,"43,877",527,"97,230","11,731",1.1,44,82%,0.66%
14,Iraq,"40,222,493",2.32%,"912,710",93,"434,320","7,834",3.7,21,73%,0.52%
15,Afghanistan,"38,928,346",2.33%,"886,592",60,"652,860","-62,920",4.6,18,25%,0.50%
16,Saudi Arabia,"34,813,871",1.59%,"545,343",16,"2,149,690","134,979",2.3,32,84%,0.45%
17,Uzbekistan,"33,469,203",1.48%,"487,487",79,"425,400","-8,863",2.4,28,50%,0.43%
18,Malaysia,"32,365,999",1.30%,"416,222",99,"328,550","50,000",2,30,78%,0.42%
19,Yemen,"29,825,964",2.28%,"664,042",56,"527,970","-30,000",3.8,20,38%,0.38%
20,Nepal,"29,136,808",1.85%,"528,098",203,"143,350","41,710",1.9,25,21%,0.37%
21,North Korea,"25,778,816",0.44%,"112,655",214,"120,410","-5,403",1.9,35,63%,0.33%
22,Taiwan,"23,816,775",0.18%,"42,899",673,"35,410","30,001",1.2,42,79%,0.31%
23,Sri Lanka,"21,413,249",0.42%,"89,516",341,"62,710","-97,986",2.2,34,18%,0.27%
24,Kazakhstan,"18,776,707",1.21%,"225,280",7,"2,699,700","-18,000",2.8,31,58%,0.24%
25,Syria,"17,500,658",2.52%,"430,523",95,"183,630","-427,391",2.8,26,60%,0.22%
26,Cambodia,"16,718,965",1.41%,"232,423",95,"176,520","-30,000",2.5,26,24%,0.21%
27,Jordan,"10,203,134",1.00%,"101,440",115,"88,780","10,220",2.8,24,91%,0.13%
28,Azerbaijan,"10,139,177",0.91%,"91,459",123,"82,658","1,200",2.1,32,56%,0.13%
29,United Arab Emirates,"9,890,402",1.23%,"119,873",118,"83,600","40,000",1.4,33,86%,0.13%
30,Tajikistan,"9,537,645",2.32%,"216,627",68,"139,960","-20,000",3.6,22,27%,0.12%
31,Israel,"8,655,535",1.60%,"136,158",400,"21,640","10,000",3,30,93%,0.11%
32,Hong Kong,"7,496,981",0.82%,"60,827","7,140","1,050","29,308",1.3,45,N.A.,0.10%
33,Laos,"7,275,560",1.48%,"106,105",32,"230,800","-14,704",2.7,24,36%,0.09%
34,Lebanon,"6,825,445",-0.44%,"-30,268",667,"10,230","-30,012",2.1,30,78%,0.09%
35,Kyrgyzstan,"6,524,195",1.69%,"108,345",34,"191,800","-4,000",3,26,36%,0.08%
36,Turkmenistan,"6,031,200",1.50%,"89,111",13,"469,930","-5,000",2.8,27,53%,0.08%
37,Singapore,"5,850,342",0.79%,"46,005","8,358",700,"27,028",1.2,42,N.A.,0.08%
38,Palestine,"5,101,414",2.41%,"119,994",847,"6,020","-10,563",3.7,21,80%,0.07%
39,Oman,"5,106,626",2.65%,"131,640",16,"309,500","87,400",2.9,31,87%,0.07%
40,Kuwait,"4,270,571",1.51%,"63,488",240,"17,820","39,520",2.1,37,N.A.,0.05%
41,Georgia,"3,989,167",-0.19%,"-7,598",57,"69,490","-10,000",2.1,38,58%,0.05%
42,Mongolia,"3,278,290",1.65%,"53,123",2,"1,553,560",-852,2.9,28,67%,0.04%
43,Armenia,"2,963,243",0.19%,"5,512",104,"28,470","-4,998",1.8,35,63%,0.04%
44,Qatar,"2,881,053",1.73%,"48,986",248,"11,610","40,000",1.9,32,96%,0.04%
45,Bahrain,"1,701,575",3.68%,"60,403","2,239",760,"47,800",2,32,89%,0.02%
46,East Timor,"1,318,445",1.96%,"25,326",89,"14,870","-5,385",4.1,21,33%,0.02%
47,Northern Cyprus,"1,207,359",0.73%,"8,784",131,"9,240","5,000",1.3,37,67%,0.02%
48,Bhutan,"771,608",1.12%,"8,516",20,"38,117",320,2,28,46%,0.01%
49,Macao,"649,335",1.39%,"8,890","21,645",30,"5,000",1.2,39,N.A.,0.01%
50,Maldives,"540,544",1.81%,"9,591","1,802",300,"11,370",1.9,30,35%,0.01%
51,Brunei,"437,479",0.97%,"4,194",83,"5,270",0,1.8,32,80%,0.01%
